"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2022年04月01日","6,098.0","6,065.0","6,133.0","6,003.0","2.63M","-1.09%"
"2022年03月31日","6,165.0","6,170.0","6,290.0","6,135.0","3.33M","-1.36%"
"2022年03月30日","6,250.0","6,236.0","6,256.0","6,181.0","3.50M","1.59%"
"2022年03月29日","6,152.0","6,200.0","6,213.0","6,113.0","2.57M","0.41%"
"2022年03月28日","6,127.0","6,164.0","6,186.0","6,101.0","1.68M","-0.70%"
"2022年03月25日","6,170.0","6,200.0","6,263.0","6,151.0","2.09M","0.02%"
"2022年03月24日","6,169.0","6,074.0","6,204.0","6,066.0","2.96M","-0.10%"
"2022年03月23日","6,175.0","6,095.0","6,214.0","6,020.0","4.63M","4.18%"
"2022年03月22日","5,927.0","5,780.0","5,955.0","5,780.0","4.33M","1.68%"
"2022年03月18日","5,829.0","5,695.0","5,837.0","5,673.0","7.11M","3.30%"
"2022年03月17日","5,643.0","5,687.0","5,687.0","5,553.0","4.59M","3.92%"
"2022年03月16日","5,430.0","5,389.0","5,462.0","5,348.0","4.28M","3.76%"
"2022年03月15日","5,233.0","5,144.0","5,283.0","5,128.0","2.99M","1.00%"
"2022年03月14日","5,181.0","5,230.0","5,310.0","5,177.0","2.39M","0.82%"
"2022年03月11日","5,139.0","5,160.0","5,205.0","5,068.0","3.95M","-2.02%"
"2022年03月10日","5,245.0","5,295.0","5,295.0","5,185.0","5.29M","4.94%"
"2022年03月09日","4,998.0","4,980.0","5,102.0","4,907.0","6.40M","4.78%"
"2022年03月08日","4,770.0","4,883.0","4,919.0","4,750.0","6.55M","-3.69%"
"2022年03月07日","4,953.0","4,922.0","5,002.0","4,858.0","7.29M","-6.90%"
"2022年03月04日","5,320.0","5,385.0","5,445.0","5,238.0","4.09M","-2.60%"
"2022年03月03日","5,462.0","5,504.0","5,518.0","5,417.0","2.99M","1.04%"
"2022年03月02日","5,406.0","5,541.0","5,541.0","5,363.0","4.76M","-4.54%"
"2022年03月01日","5,663.0","5,800.0","5,802.0","5,632.0","2.90M","0.23%"
"2022年02月28日","5,650.0","5,631.0","5,752.0","5,606.0","3.56M","-0.19%"
"2022年02月25日","5,661.0","5,542.0","5,688.0","5,511.0","3.40M","2.13%"
"2022年02月24日","5,543.0","5,713.0","5,773.0","5,500.0","4.82M","-4.35%"
"2022年02月22日","5,795.0","5,890.0","5,898.0","5,768.0","2.93M","-3.56%"
"2022年02月21日","6,009.0","6,000.0","6,082.0","5,971.0","2.92M","-1.86%"
"2022年02月18日","6,123.0","6,050.0","6,148.0","6,047.0","2.99M","-0.44%"
"2022年02月17日","6,150.0","5,970.0","6,210.0","5,950.0","5.05M","4.17%"
"2022年02月16日","5,904.0","5,851.0","5,919.0","5,835.0","2.39M","2.66%"
"2022年02月15日","5,751.0","5,861.0","5,867.0","5,711.0","2.93M","-1.15%"
"2022年02月14日","5,818.0","5,895.0","5,953.0","5,810.0","3.48M","-4.21%"
